"","symptom","domain","group","estimate","lower_95_percent_confidence_limit","upper_95_percent_confidence_limit"
"417","Sore throat","Sex","Female",14.53,13.39,15.68
"418","Sore throat","Sex","Male",12.14,10.84,13.44
"419","Sore throat","Age Sex","Female 25 to 34",21.37,14.35,28.4
"420","Sore throat","Age Sex","Male 25 to 34",18.18,7.94,28.43
"421","Sore throat","Age Sex","Female 35 to 49",14.85,12.4,17.3
"422","Sore throat","Age Sex","Male 35 to 49",11.85,8.53,15.16
"423","Sore throat","Age Sex","Female 50 to 69",14.51,12.98,16.04
"424","Sore throat","Age Sex","Male 50 to 69",12.67,10.88,14.46
"425","Sore throat","Age Sex","Female 70+",12.26,9.69,14.83
"426","Sore throat","Age Sex","Male 70+",10.79,8.42,13.16
"427","Tinnitus","All people","All people",20.02,19.01,21.03
"428","Tinnitus","Age group","16 to 24",13.68,6.76,20.61
"429","Tinnitus","Age group","25 to 34",17.2,11.84,22.57
"430","Tinnitus","Age group","35 to 49",19.52,17.26,21.79
"431","Tinnitus","Age group","50 to 69",20.45,19.08,21.83
"432","Tinnitus","Age group","70+",20.22,18,22.44
"433","Tinnitus","Sex","Female",20.02,18.73,21.32
"434","Tinnitus","Sex","Male",20.02,18.43,21.61
"435","Tinnitus","Age Sex","Female 25 to 34",16.79,10.4,23.19
"436","Tinnitus","Age Sex","Male 25 to 34",18.18,8.17,28.19
"437","Tinnitus","Age Sex","Female 35 to 49",20.86,18.06,23.66
"438","Tinnitus","Age Sex","Male 35 to 49",16.53,12.72,20.33
"439","Tinnitus","Age Sex","Female 50 to 69",19.9,18.17,21.63
"440","Tinnitus","Age Sex","Male 50 to 69",21.29,19.09,23.49
"441","Tinnitus","Age Sex","Female 70+",20.54,17.38,23.71
"442","Tinnitus","Age Sex","Male 70+",19.91,16.85,22.97
"443","Trouble sleeping","All people","All people",32.11,30.93,33.3
"444","Trouble sleeping","Age group","16 to 24",24.21,15.28,33.14
"445","Trouble sleeping","Age group","25 to 34",39.78,32.7,46.87
"446","Trouble sleeping","Age group","35 to 49",36.25,33.5,38.99
"447","Trouble sleeping","Age group","50 to 69",33.82,32.21,35.42
"448","Trouble sleeping","Age group","70+",23.33,20.96,25.7
"449","Trouble sleeping","Sex","Female",33.63,32.1,35.16
"450","Trouble sleeping","Sex","Male",29.82,28,31.64
"451","Trouble sleeping","Age Sex","Female 25 to 34",40.46,32.06,48.86
"452","Trouble sleeping","Age Sex","Male 25 to 34",38.18,25.23,51.13
"453","Trouble sleeping","Age Sex","Female 35 to 49",37.79,34.46,41.12
"454","Trouble sleeping","Age Sex","Male 35 to 49",32.78,27.92,37.64
"455","Trouble sleeping","Age Sex","Female 50 to 69",34.36,32.3,36.42
"456","Trouble sleeping","Age Sex","Male 50 to 69",32.98,30.46,35.51
"457","Trouble sleeping","Age Sex","Female 70+",24.84,21.46,28.22
"458","Trouble sleeping","Age Sex","Male 70+",21.88,18.73,25.04
"459","Vertigo or dizziness","All people","All people",18.99,18,19.98
"460","Vertigo or dizziness","Age group","16 to 24",17.89,10.26,25.53
"461","Vertigo or dizziness","Age group","25 to 34",24.73,18.42,31.04
"462","Vertigo or dizziness","Age group","35 to 49",18.25,16.02,20.48
"463","Vertigo or dizziness","Age group","50 to 69",17.96,16.66,19.26
"464","Vertigo or dizziness","Age group","70+",21.62,19.35,23.89
"465","Vertigo or dizziness","Sex","Female",21.52,20.19,22.84
"466","Vertigo or dizziness","Sex","Male",15.18,13.75,16.6
"467","Vertigo or dizziness","Age Sex","Female 25 to 34",24.43,17.08,31.77
"468","Vertigo or dizziness","Age Sex","Male 25 to 34",25.45,13.86,37.05
"469","Vertigo or dizziness","Age Sex","Female 35 to 49",21.1,18.27,23.94
"470","Vertigo or dizziness","Age Sex","Male 35 to 49",11.85,8.53,15.16
"471","Vertigo or dizziness","Age Sex","Female 50 to 69",20.59,18.83,22.34
"472","Vertigo or dizziness","Age Sex","Male 50 to 69",13.94,12.08,15.81
"473","Vertigo or dizziness","Age Sex","Female 70+",24.52,21.16,27.89
"474","Vertigo or dizziness","Age Sex","Male 70+",18.84,15.86,21.83
"475","Weakness or tiredness","All people","All people",60.37,59.13,61.61
"476","Weakness or tiredness","Age group","16 to 24",46.32,36.04,56.59
"477","Weakness or tiredness","Age group","25 to 34",59.14,52.06,66.22
"478","Weakness or tiredness","Age group","35 to 49",58.74,55.92,61.57
"479","Weakness or tiredness","Age group","50 to 69",60.49,58.83,62.15
"480","Weakness or tiredness","Age group","70+",62.75,60.07,65.44
"481","Weakness or tiredness","Sex","Female",61.07,59.49,62.65
"482","Weakness or tiredness","Sex","Male",59.31,57.36,61.26
"483","Weakness or tiredness","Age Sex","Female 16 to 24",47.76,35.61,59.91
"484","Weakness or tiredness","Age Sex","Male 16 to 24",42.86,24.5,61.21
"485","Weakness or tiredness","Age Sex","Female 25 to 34",61.83,53.52,70.14
"486","Weakness or tiredness","Age Sex","Male 25 to 34",52.73,39.8,65.65
"487","Weakness or tiredness","Age Sex","Female 35 to 49",61.1,57.77,64.44
"488","Weakness or tiredness","Age Sex","Male 35 to 49",53.44,48.31,58.58
"489","Weakness or tiredness","Age Sex","Female 50 to 69",61.03,58.91,63.15
"490","Weakness or tiredness","Age Sex","Male 50 to 69",59.67,57.04,62.3
"491","Weakness or tiredness","Age Sex","Female 70+",62.42,58.63,66.21
"492","Weakness or tiredness","Age Sex","Male 70+",63.07,59.38,66.76
"493","Worry or anxiety","All people","All people",29.09,27.94,30.24
"494","Worry or anxiety","Age group","16 to 24",33.68,23.94,43.43
"495","Worry or anxiety","Age group","25 to 34",43.55,36.49,50.61
"496","Worry or anxiety","Age group","35 to 49",36.67,33.9,39.44
"497","Worry or anxiety","Age group","50 to 69",28.57,27.05,30.1
"498","Worry or anxiety","Age group","70+",21.07,18.8,23.35
"499","Worry or anxiety","Sex","Female",30.64,29.15,32.13
"500","Worry or anxiety","Sex","Male",26.74,24.99,28.5
"501","Worry or anxiety","Age Sex","Female 25 to 34",41.98,33.53,50.44
"502","Worry or anxiety","Age Sex","Male 25 to 34",47.27,34.29,60.26
"503","Worry or anxiety","Age Sex","Female 35 to 49",36.93,33.62,40.25
"504","Worry or anxiety","Age Sex","Male 35 to 49",36.09,31.13,41.05
"505","Worry or anxiety","Age Sex","Female 50 to 69",29.46,27.49,31.44
"506","Worry or anxiety","Age Sex","Male 50 to 69",27.21,24.83,29.6
"507","Worry or anxiety","Age Sex","Female 70+",23.25,19.95,26.55
"508","Worry or anxiety","Age Sex","Male 70+",19,16,21.99
