"date","rank","song","artist","weeks-on-board"
2013-03-30,1,"Harlem Shake","Baauer",5
2013-03-23,1,"Harlem Shake","Baauer",4
2013-03-16,1,"Harlem Shake","Baauer",3
2013-03-09,1,"Harlem Shake","Baauer",2
2013-03-02,1,"Harlem Shake","Baauer",1
2013-02-23,1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",19
2013-02-16,1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",18
2013-02-09,1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",17
2013-02-02,1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",16
2013-01-26,1,"Locked Out Of Heaven","Bruno Mars",15
2013-01-19,1,"Locked Out Of Heaven","Bruno Mars",14
2013-01-12,1,"Locked Out Of Heaven","Bruno Mars",13
2013-01-05,1,"Locked Out Of Heaven","Bruno Mars",12
2012-12-29,1,"Locked Out Of Heaven","Bruno Mars",11
2012-12-22,1,"Locked Out Of Heaven","Bruno Mars",10
2012-12-15,1,"Diamonds","Rihanna",10
2012-12-08,1,"Diamonds","Rihanna",9
2012-12-01,1,"Diamonds","Rihanna",8
2012-11-24,1,"One More Night","Maroon 5",21
2012-11-17,1,"One More Night","Maroon 5",20
2012-11-10,1,"One More Night","Maroon 5",19
2012-11-03,1,"One More Night","Maroon 5",18
2012-10-27,1,"One More Night","Maroon 5",17
2012-10-20,1,"One More Night","Maroon 5",16
2012-10-13,1,"One More Night","Maroon 5",15
2012-10-06,1,"One More Night","Maroon 5",14
2012-09-29,1,"One More Night","Maroon 5",13
2012-09-22,1,"We Are Never Ever Getting Back Together","Taylor Swift",5
2012-09-15,1,"Whistle","Flo Rida",16
2012-09-08,1,"We Are Never Ever Getting Back Together","Taylor Swift",3
2012-09-01,1,"We Are Never Ever Getting Back Together","Taylor Swift",2
2012-08-25,1,"Whistle","Flo Rida",13
2012-08-18,1,"Call Me Maybe","Carly Rae Jepsen",24
2012-08-11,1,"Call Me Maybe","Carly Rae Jepsen",23
2012-08-04,1,"Call Me Maybe","Carly Rae Jepsen",22
2012-07-28,1,"Call Me Maybe","Carly Rae Jepsen",21
2012-07-21,1,"Call Me Maybe","Carly Rae Jepsen",20
2012-07-14,1,"Call Me Maybe","Carly Rae Jepsen",19
2012-07-07,1,"Call Me Maybe","Carly Rae Jepsen",18
2012-06-30,1,"Call Me Maybe","Carly Rae Jepsen",17
2012-06-23,1,"Call Me Maybe","Carly Rae Jepsen",16
2012-06-16,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",22
2012-06-09,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",21
2012-06-02,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",20
2012-05-26,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",19
2012-05-19,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",18
2012-05-12,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",17
2012-05-05,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",16
2012-04-28,1,"Somebody That I Used To Know","Gotye Featuring Kimbra",15
2012-04-21,1,"We Are Young","fun. Featuring Janelle Monae",16
2012-04-14,1,"We Are Young","fun. Featuring Janelle Monae",15
2012-04-07,1,"We Are Young","fun. Featuring Janelle Monae",14
2012-03-31,1,"We Are Young","fun. Featuring Janelle Monae",13
2012-03-24,1,"We Are Young","fun. Featuring Janelle Monae",12
2012-03-17,1,"We Are Young","fun. Featuring Janelle Monae",11
2012-03-10,1,"Stronger (What Doesn't Kill You)","Kelly Clarkson",10
2012-03-03,1,"Part Of Me","Katy Perry",1
2012-02-25,1,"Stronger (What Doesn't Kill You)","Kelly Clarkson",8
2012-02-18,1,"Stronger (What Doesn't Kill You)","Kelly Clarkson",7
2012-02-11,1,"Set Fire To The Rain","Adele",22
2012-02-04,1,"Set Fire To The Rain","Adele",21
2012-01-28,1,"We Found Love","Rihanna Featuring Calvin Harris",17
2012-01-21,1,"We Found Love","Rihanna Featuring Calvin Harris",16
2012-01-14,1,"Sexy And I Know It","LMFAO",18
2012-01-07,1,"Sexy And I Know It","LMFAO",17
2011-12-31,1,"We Found Love","Rihanna Featuring Calvin Harris",13
2011-12-24,1,"We Found Love","Rihanna Featuring Calvin Harris",12
2011-12-17,1,"We Found Love","Rihanna Featuring Calvin Harris",11
2011-12-10,1,"We Found Love","Rihanna Featuring Calvin Harris",10
2011-12-03,1,"We Found Love","Rihanna Featuring Calvin Harris",9
2011-11-26,1,"We Found Love","Rihanna Featuring Calvin Harris",8
2011-11-19,1,"We Found Love","Rihanna Featuring Calvin Harris",7
2011-11-12,1,"We Found Love","Rihanna Featuring Calvin Harris",6
2011-11-05,1,"Someone Like You","Adele",16
2011-10-29,1,"Someone Like You","Adele",15
2011-10-22,1,"Someone Like You","Adele",14
2011-10-15,1,"Someone Like You","Adele",13
2011-10-08,1,"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",14
2011-10-01,1,"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",13
2011-09-24,1,"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",12
2011-09-17,1,"Someone Like You","Adele",9
2011-09-10,1,"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",10
2011-09-03,1,"Last Friday Night (T.G.I.F.)","Katy Perry",13
2011-08-27,1,"Last Friday Night (T.G.I.F.)","Katy Perry",12
2011-08-20,1,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",20
2011-08-13,1,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",19
2011-08-06,1,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",18
2011-07-30,1,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",17
2011-07-23,1,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",16
2011-07-16,1,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",15
2011-07-09,1,"Give Me Everything","Pitbull Featuring Ne-Yo, Afrojack & Nayer",13
2011-07-02,1,"Rolling In The Deep","Adele",24
2011-06-25,1,"Rolling In The Deep","Adele",23
2011-06-18,1,"Rolling In The Deep","Adele",22
2011-06-11,1,"Rolling In The Deep","Adele",21
2011-06-04,1,"Rolling In The Deep","Adele",20
2011-05-28,1,"Rolling In The Deep","Adele",19
2011-05-21,1,"Rolling In The Deep","Adele",18
2011-05-14,1,"E.T.","Katy Perry Featuring Kanye West",12
2011-05-07,1,"E.T.","Katy Perry Featuring Kanye West",11
2011-04-30,1,"S&M","Rihanna Featuring Britney Spears",14
2011-04-23,1,"E.T.","Katy Perry Featuring Kanye West",9
2011-04-16,1,"E.T.","Katy Perry Featuring Kanye West",8
2011-04-09,1,"E.T.","Katy Perry Featuring Kanye West",7
2011-04-02,1,"Born This Way","Lady Gaga",6
2011-03-26,1,"Born This Way","Lady Gaga",5
2011-03-19,1,"Born This Way","Lady Gaga",4
2011-03-12,1,"Born This Way","Lady Gaga",3
2011-03-05,1,"Born This Way","Lady Gaga",2
2011-02-26,1,"Born This Way","Lady Gaga",1
2011-02-19,1,"Black And Yellow","Wiz Khalifa",18
2011-02-12,1,"Grenade","Bruno Mars",18
2011-02-05,1,"Grenade","Bruno Mars",17
2011-01-29,1,"Hold It Against Me","Britney Spears",1
2011-01-22,1,"Grenade","Bruno Mars",15
2011-01-15,1,"Firework","Katy Perry",11
2011-01-08,1,"Grenade","Bruno Mars",13
2011-01-01,1,"Firework","Katy Perry",9
2010-12-25,1,"Firework","Katy Perry",8
2010-12-18,1,"Firework","Katy Perry",7
2010-12-11,1,"Raise Your Glass","P!nk",8
2010-12-04,1,"Only Girl (In The World)","Rihanna",11
2010-11-27,1,"Like A G6","Far*East Movement Featuring Cataracs & Dev",14
2010-11-20,1,"What's My Name?","Rihanna Featuring Drake",3
2010-11-13,1,"We R Who We R","Ke$ha",1
2010-11-06,1,"Like A G6","Far*East Movement Featuring Cataracs & Dev",11
2010-10-30,1,"Like A G6","Far*East Movement Featuring Cataracs & Dev",10
2010-10-23,1,"Just The Way You Are","Bruno Mars",12
2010-10-16,1,"Just The Way You Are","Bruno Mars",11
2010-10-09,1,"Just The Way You Are","Bruno Mars",10
2010-10-02,1,"Just The Way You Are","Bruno Mars",9
2010-09-25,1,"Teenage Dream","Katy Perry",8
2010-09-18,1,"Teenage Dream","Katy Perry",7
2010-09-11,1,"Love The Way You Lie","Eminem Featuring Rihanna",10
2010-09-04,1,"Love The Way You Lie","Eminem Featuring Rihanna",9
2010-08-28,1,"Love The Way You Lie","Eminem Featuring Rihanna",8
2010-08-21,1,"Love The Way You Lie","Eminem Featuring Rihanna",7
2010-08-14,1,"Love The Way You Lie","Eminem Featuring Rihanna",6
2010-08-07,1,"Love The Way You Lie","Eminem Featuring Rihanna",5
2010-07-31,1,"Love The Way You Lie","Eminem Featuring Rihanna",4
2010-07-24,1,"California Gurls","Katy Perry Featuring Snoop Dogg",9
2010-07-17,1,"California Gurls","Katy Perry Featuring Snoop Dogg",8
2010-07-10,1,"California Gurls","Katy Perry Featuring Snoop Dogg",7
2010-07-03,1,"California Gurls","Katy Perry Featuring Snoop Dogg",6
2010-06-26,1,"California Gurls","Katy Perry Featuring Snoop Dogg",5
2010-06-19,1,"California Gurls","Katy Perry Featuring Snoop Dogg",4
2010-06-12,1,"OMG","Usher Featuring will.i.am",9
2010-06-05,1,"OMG","Usher Featuring will.i.am",8
2010-05-29,1,"OMG","Usher Featuring will.i.am",7
2010-05-22,1,"Not Afraid","Eminem",1
2010-05-15,1,"OMG","Usher Featuring will.i.am",5
2010-05-08,1,"Nothin' On You","B.o.B Featuring Bruno Mars",13
2010-05-01,1,"Nothin' On You","B.o.B Featuring Bruno Mars",12
2010-04-24,1,"Rude Boy","Rihanna",9
2010-04-17,1,"Rude Boy","Rihanna",8
2010-04-10,1,"Rude Boy","Rihanna",7
2010-04-03,1,"Rude Boy","Rihanna",6
2010-03-27,1,"Rude Boy","Rihanna",5
2010-03-20,1,"Break Your Heart","Taio Cruz Featuring Ludacris",2
2010-03-13,1,"Imma Be","The Black Eyed Peas",13
2010-03-06,1,"Imma Be","The Black Eyed Peas",12
2010-02-27,1,"TiK ToK","Ke$ha",19
2010-02-20,1,"TiK ToK","Ke$ha",18
2010-02-13,1,"TiK ToK","Ke$ha",17
2010-02-06,1,"TiK ToK","Ke$ha",16
2010-01-30,1,"TiK ToK","Ke$ha",15
2010-01-23,1,"TiK ToK","Ke$ha",14
2010-01-16,1,"TiK ToK","Ke$ha",13
2010-01-09,1,"TiK ToK","Ke$ha",12
2010-01-02,1,"TiK ToK","Ke$ha",11
2009-12-26,1,"Empire State Of Mind","Jay-Z + Alicia Keys",14
2009-12-19,1,"Empire State Of Mind","Jay-Z + Alicia Keys",13
2009-12-12,1,"Empire State Of Mind","Jay-Z + Alicia Keys",12
2009-12-05,1,"Empire State Of Mind","Jay-Z + Alicia Keys",11
2009-11-28,1,"Empire State Of Mind","Jay-Z + Alicia Keys",10
2009-11-21,1,"Fireflies","Owl City",12
2009-11-14,1,"Whatcha Say","Jason Derulo",12
2009-11-07,1,"Fireflies","Owl City",10
2009-10-31,1,"Down","Jay Sean Featuring Lil Wayne",16
2009-10-24,1,"3","Britney Spears",1
2009-10-17,1,"Down","Jay Sean Featuring Lil Wayne",14
2009-10-10,1,"I Gotta Feeling","The Black Eyed Peas",16
2009-10-03,1,"I Gotta Feeling","The Black Eyed Peas",15
2009-09-26,1,"I Gotta Feeling","The Black Eyed Peas",14
2009-09-19,1,"I Gotta Feeling","The Black Eyed Peas",13
2009-09-12,1,"I Gotta Feeling","The Black Eyed Peas",12
2009-09-05,1,"I Gotta Feeling","The Black Eyed Peas",11
2009-08-29,1,"I Gotta Feeling","The Black Eyed Peas",10
2009-08-22,1,"I Gotta Feeling","The Black Eyed Peas",9
2009-08-15,1,"I Gotta Feeling","The Black Eyed Peas",8
2009-08-08,1,"I Gotta Feeling","The Black Eyed Peas",7
2009-08-01,1,"I Gotta Feeling","The Black Eyed Peas",6
2009-07-25,1,"I Gotta Feeling","The Black Eyed Peas",5
2009-07-18,1,"I Gotta Feeling","The Black Eyed Peas",4
2009-07-11,1,"I Gotta Feeling","The Black Eyed Peas",3
2009-07-04,1,"Boom Boom Pow","The Black Eyed Peas",15
2009-06-27,1,"Boom Boom Pow","The Black Eyed Peas",14
2009-06-20,1,"Boom Boom Pow","The Black Eyed Peas",13
2009-06-13,1,"Boom Boom Pow","The Black Eyed Peas",12
2009-06-06,1,"Boom Boom Pow","The Black Eyed Peas",11
2009-05-30,1,"Boom Boom Pow","The Black Eyed Peas",10
2009-05-23,1,"Boom Boom Pow","The Black Eyed Peas",9
2009-05-16,1,"Boom Boom Pow","The Black Eyed Peas",8
2009-05-09,1,"Boom Boom Pow","The Black Eyed Peas",7
2009-05-02,1,"Boom Boom Pow","The Black Eyed Peas",6
2009-04-25,1,"Boom Boom Pow","The Black Eyed Peas",5
2009-04-18,1,"Boom Boom Pow","The Black Eyed Peas",4
2009-04-11,1,"Poker Face","Lady Gaga",15
2009-04-04,1,"Right Round","Flo Rida",8
2009-03-28,1,"Right Round","Flo Rida",7
2009-03-21,1,"Right Round","Flo Rida",6
2009-03-14,1,"Right Round","Flo Rida",5
2009-03-07,1,"Right Round","Flo Rida",4
2009-02-28,1,"Right Round","Flo Rida",3
2009-02-21,1,"Crack A Bottle","Eminem, Dr. Dre & 50 Cent",4
2009-02-14,1,"My Life Would Suck Without You","Kelly Clarkson",3
2009-02-07,1,"My Life Would Suck Without You","Kelly Clarkson",2
2009-01-31,1,"Just Dance","Lady Gaga Featuring Colby O'Donis",24
2009-01-24,1,"Just Dance","Lady Gaga Featuring Colby O'Donis",23
2009-01-17,1,"Just Dance","Lady Gaga Featuring Colby O'Donis",22
2009-01-10,1,"Single Ladies (Put A Ring On It)","Beyonce",11
2009-01-03,1,"Single Ladies (Put A Ring On It)","Beyonce",10
2008-12-27,1,"Single Ladies (Put A Ring On It)","Beyonce",9
2008-12-20,1,"Live Your Life","T.I. Featuring Rihanna",11
2008-12-13,1,"Single Ladies (Put A Ring On It)","Beyonce",7
2008-12-06,1,"Live Your Life","T.I. Featuring Rihanna",9
2008-11-29,1,"Live Your Life","T.I. Featuring Rihanna",8
2008-11-22,1,"Live Your Life","T.I. Featuring Rihanna",7
2008-11-15,1,"Live Your Life","T.I. Featuring Rihanna",6
2008-11-08,1,"Whatever You Like","T.I.",12
2008-11-01,1,"Whatever You Like","T.I.",11
2008-10-25,1,"Womanizer","Britney Spears",2
2008-10-18,1,"Live Your Life","T.I. Featuring Rihanna",2
2008-10-11,1,"Whatever You Like","T.I.",8
2008-10-04,1,"Whatever You Like","T.I.",7
2008-09-27,1,"So What","P!nk",4
2008-09-20,1,"Whatever You Like","T.I.",5
2008-09-13,1,"Whatever You Like","T.I.",4
2008-09-06,1,"Whatever You Like","T.I.",3
2008-08-30,1,"Disturbia","Rihanna",9
2008-08-23,1,"Disturbia","Rihanna",8
2008-08-16,1,"I Kissed A Girl","Katy Perry",13
2008-08-09,1,"I Kissed A Girl","Katy Perry",12
2008-08-02,1,"I Kissed A Girl","Katy Perry",11
2008-07-26,1,"I Kissed A Girl","Katy Perry",10
2008-07-19,1,"I Kissed A Girl","Katy Perry",9
2008-07-12,1,"I Kissed A Girl","Katy Perry",8
2008-07-05,1,"I Kissed A Girl","Katy Perry",7
2008-06-28,1,"Viva La Vida","Coldplay",6
2008-06-21,1,"Lollipop","Lil Wayne Featuring Static Major",13
2008-06-14,1,"Lollipop","Lil Wayne Featuring Static Major",12
2008-06-07,1,"Lollipop","Lil Wayne Featuring Static Major",11
2008-05-31,1,"Lollipop","Lil Wayne Featuring Static Major",10
2008-05-24,1,"Take A Bow","Rihanna",5
2008-05-17,1,"Bleeding Love","Leona Lewis",12
2008-05-10,1,"Bleeding Love","Leona Lewis",11
2008-05-03,1,"Lollipop","Lil Wayne Featuring Static Major",6
2008-04-26,1,"Bleeding Love","Leona Lewis",9
2008-04-19,1,"Touch My Body","Mariah Carey",8
2008-04-12,1,"Touch My Body","Mariah Carey",7
2008-04-05,1,"Bleeding Love","Leona Lewis",6
2008-03-29,1,"Love In This Club","Usher Featuring Young Jeezy",5
2008-03-22,1,"Love In This Club","Usher Featuring Young Jeezy",4
2008-03-15,1,"Love In This Club","Usher Featuring Young Jeezy",3
2008-03-08,1,"Low","Flo Rida Featuring T-Pain",18
2008-03-01,1,"Low","Flo Rida Featuring T-Pain",17
2008-02-23,1,"Low","Flo Rida Featuring T-Pain",16
2008-02-16,1,"Low","Flo Rida Featuring T-Pain",15
2008-02-09,1,"Low","Flo Rida Featuring T-Pain",14
2008-02-02,1,"Low","Flo Rida Featuring T-Pain",13
2008-01-26,1,"Low","Flo Rida Featuring T-Pain",12
2008-01-19,1,"Low","Flo Rida Featuring T-Pain",11
2008-01-12,1,"Low","Flo Rida Featuring T-Pain",10
2008-01-05,1,"Low","Flo Rida Featuring T-Pain",9
2007-12-29,1,"No One","Alicia Keys",15
2007-12-22,1,"No One","Alicia Keys",14
2007-12-15,1,"No One","Alicia Keys",13
2007-12-08,1,"No One","Alicia Keys",12
2007-12-01,1,"No One","Alicia Keys",11
2007-11-24,1,"Kiss Kiss","Chris Brown Featuring T-Pain",9
2007-11-17,1,"Kiss Kiss","Chris Brown Featuring T-Pain",8
2007-11-10,1,"Kiss Kiss","Chris Brown Featuring T-Pain",7
2007-11-03,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",15
2007-10-27,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",14
2007-10-20,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",13
2007-10-13,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",12
2007-10-06,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",11
2007-09-29,1,"Stronger","Kanye West",8
2007-09-22,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",9
2007-09-15,1,"Crank That (Soulja Boy)","Soulja Boy Tell'em",8
2007-09-08,1,"Big Girls Don't Cry","Fergie",19
2007-09-01,1,"Beautiful Girls","Sean Kingston",13
2007-08-25,1,"Beautiful Girls","Sean Kingston",12
2007-08-18,1,"Beautiful Girls","Sean Kingston",11
2007-08-11,1,"Beautiful Girls","Sean Kingston",10
2007-08-04,1,"Hey There Delilah","Plain White T's",17
2007-07-28,1,"Hey There Delilah","Plain White T's",16
2007-07-21,1,"Umbrella","Rihanna Featuring Jay-Z",13
2007-07-14,1,"Umbrella","Rihanna Featuring Jay-Z",12
2007-07-07,1,"Umbrella","Rihanna Featuring Jay-Z",11
2007-06-30,1,"Umbrella","Rihanna Featuring Jay-Z",10
2007-06-23,1,"Umbrella","Rihanna Featuring Jay-Z",9
2007-06-16,1,"Umbrella","Rihanna Featuring Jay-Z",8
2007-06-09,1,"Umbrella","Rihanna Featuring Jay-Z",7
2007-06-02,1,"Makes Me Wonder","Maroon 5",7
2007-05-26,1,"Buy U A Drank (Shawty Snappin')","T-Pain Featuring Yung Joc",12
2007-05-19,1,"Makes Me Wonder","Maroon 5",5
2007-05-12,1,"Makes Me Wonder","Maroon 5",4
2007-05-05,1,"Girlfriend","Avril Lavigne",8
2007-04-28,1,"Give It To Me","Timbaland Featuring Nelly Furtado & Justin Timberlake",10
2007-04-21,1,"Give It To Me","Timbaland Featuring Nelly Furtado & Justin Timberlake",9
2007-04-14,1,"Don't Matter","Akon",11
2007-04-07,1,"Don't Matter","Akon",10
2007-03-31,1,"Glamorous","Fergie Featuring Ludacris",10
2007-03-24,1,"Glamorous","Fergie Featuring Ludacris",9
2007-03-17,1,"This Is Why I'm Hot","Mims",7
2007-03-10,1,"This Is Why I'm Hot","Mims",6
2007-03-03,1,"What Goes Around...Comes Around","Justin Timberlake",11
2007-02-24,1,"Say It Right","Nelly Furtado",14
2007-02-17,1,"Irreplaceable","Beyonce",16
2007-02-10,1,"Irreplaceable","Beyonce",15
2007-02-03,1,"Irreplaceable","Beyonce",14
2007-01-27,1,"Irreplaceable","Beyonce",13
2007-01-20,1,"Irreplaceable","Beyonce",12
2007-01-13,1,"Irreplaceable","Beyonce",11
2007-01-06,1,"Irreplaceable","Beyonce",10
2006-12-30,1,"Irreplaceable","Beyonce",9
2006-12-23,1,"Irreplaceable","Beyonce",8
2006-12-16,1,"Irreplaceable","Beyonce",7
2006-12-09,1,"I Wanna Love You","Akon Featuring Snoop Dogg",9
2006-12-02,1,"I Wanna Love You","Akon Featuring Snoop Dogg",8
2006-11-25,1,"My Love","Justin Timberlake Featuring T.I.",10
2006-11-18,1,"My Love","Justin Timberlake Featuring T.I.",9
2006-11-11,1,"My Love","Justin Timberlake Featuring T.I.",8
2006-11-04,1,"Money Maker","Ludacris Featuring Pharrell",11
2006-10-28,1,"Money Maker","Ludacris Featuring Pharrell",10
2006-10-21,1,"SexyBack","Justin Timberlake",14
2006-10-14,1,"SexyBack","Justin Timberlake",13
2006-10-07,1,"SexyBack","Justin Timberlake",12
2006-09-30,1,"SexyBack","Justin Timberlake",11
2006-09-23,1,"SexyBack","Justin Timberlake",10
2006-09-16,1,"SexyBack","Justin Timberlake",9
2006-09-09,1,"SexyBack","Justin Timberlake",8
2006-09-02,1,"London Bridge","Fergie",5
2006-08-26,1,"London Bridge","Fergie",4
2006-08-19,1,"London Bridge","Fergie",3
2006-08-12,1,"Promiscuous","Nelly Furtado Featuring Timbaland",13
2006-08-05,1,"Promiscuous","Nelly Furtado Featuring Timbaland",12
2006-07-29,1,"Promiscuous","Nelly Furtado Featuring Timbaland",11
2006-07-22,1,"Promiscuous","Nelly Furtado Featuring Timbaland",10
2006-07-15,1,"Promiscuous","Nelly Furtado Featuring Timbaland",9
2006-07-08,1,"Promiscuous","Nelly Furtado Featuring Timbaland",8
2006-07-01,1,"Do I Make You Proud","Taylor Hicks",1
2006-06-24,1,"Hips Don't Lie","Shakira Featuring Wyclef Jean",13
2006-06-17,1,"Hips Don't Lie","Shakira Featuring Wyclef Jean",12
2006-06-10,1,"Ridin'","Chamillionaire Featuring Krayzie Bone",15
2006-06-03,1,"Ridin'","Chamillionaire Featuring Krayzie Bone",14
2006-05-27,1,"SOS","Rihanna",14
2006-05-20,1,"SOS","Rihanna",13
2006-05-13,1,"SOS","Rihanna",12
2006-05-06,1,"Bad Day","Daniel Powter",11
2006-04-29,1,"Bad Day","Daniel Powter",10
2006-04-22,1,"Bad Day","Daniel Powter",9
2006-04-15,1,"Bad Day","Daniel Powter",8
2006-04-08,1,"Bad Day","Daniel Powter",7
2006-04-01,1,"Temperature","Sean Paul",11
2006-03-25,1,"So Sick","Ne-Yo",16
2006-03-18,1,"So Sick","Ne-Yo",15
2006-03-11,1,"You're Beautiful","James Blunt",18
2006-03-04,1,"Check On It","Beyonce Featuring Slim Thug",16
2006-02-25,1,"Check On It","Beyonce Featuring Slim Thug",15
2006-02-18,1,"Check On It","Beyonce Featuring Slim Thug",14
2006-02-11,1,"Check On It","Beyonce Featuring Slim Thug",13
2006-02-04,1,"Check On It","Beyonce Featuring Slim Thug",12
2006-01-28,1,"Grillz","Nelly Featuring Paul Wall, Ali & Gipp",11
2006-01-21,1,"Grillz","Nelly Featuring Paul Wall, Ali & Gipp",10
2006-01-14,1,"Laffy Taffy","D4L",16
2006-01-07,1,"Don't Forget About Us","Mariah Carey",12
2005-12-31,1,"Don't Forget About Us","Mariah Carey",11
2005-12-24,1,"Run It!","Chris Brown",18
2005-12-17,1,"Run It!","Chris Brown",17
2005-12-10,1,"Run It!","Chris Brown",16
2005-12-03,1,"Run It!","Chris Brown",15
2005-11-26,1,"Run It!","Chris Brown",14
2005-11-19,1,"Gold Digger","Kanye West Featuring Jamie Foxx",17
2005-11-12,1,"Gold Digger","Kanye West Featuring Jamie Foxx",16
2005-11-05,1,"Gold Digger","Kanye West Featuring Jamie Foxx",15
2005-10-29,1,"Gold Digger","Kanye West Featuring Jamie Foxx",14
2005-10-22,1,"Gold Digger","Kanye West Featuring Jamie Foxx",13
2005-10-15,1,"Gold Digger","Kanye West Featuring Jamie Foxx",12
2005-10-08,1,"Gold Digger","Kanye West Featuring Jamie Foxx",11
2005-10-01,1,"Gold Digger","Kanye West Featuring Jamie Foxx",10
2005-09-24,1,"Gold Digger","Kanye West Featuring Jamie Foxx",9
2005-09-17,1,"Gold Digger","Kanye West Featuring Jamie Foxx",8
2005-09-10,1,"We Belong Together","Mariah Carey",22
2005-09-03,1,"We Belong Together","Mariah Carey",21
2005-08-27,1,"We Belong Together","Mariah Carey",20
2005-08-20,1,"We Belong Together","Mariah Carey",19
2005-08-13,1,"We Belong Together","Mariah Carey",18
2005-08-06,1,"We Belong Together","Mariah Carey",17
2005-07-30,1,"We Belong Together","Mariah Carey",16
2005-07-23,1,"We Belong Together","Mariah Carey",15
2005-07-16,1,"We Belong Together","Mariah Carey",14
2005-07-09,1,"We Belong Together","Mariah Carey",13
2005-07-02,1,"Inside Your Heaven","Carrie Underwood",1
2005-06-25,1,"We Belong Together","Mariah Carey",11
2005-06-18,1,"We Belong Together","Mariah Carey",10
2005-06-11,1,"We Belong Together","Mariah Carey",9
2005-06-04,1,"We Belong Together","Mariah Carey",8
2005-05-28,1,"Hollaback Girl","Gwen Stefani",9
2005-05-21,1,"Hollaback Girl","Gwen Stefani",8
2005-05-14,1,"Hollaback Girl","Gwen Stefani",7
2005-05-07,1,"Hollaback Girl","Gwen Stefani",6
2005-04-30,1,"Candy Shop","50 Cent Featuring Olivia",13
2005-04-23,1,"Candy Shop","50 Cent Featuring Olivia",12
2005-04-16,1,"Candy Shop","50 Cent Featuring Olivia",11
2005-04-09,1,"Candy Shop","50 Cent Featuring Olivia",10
2005-04-02,1,"Candy Shop","50 Cent Featuring Olivia",9
2005-03-26,1,"Candy Shop","50 Cent Featuring Olivia",8
2005-03-19,1,"Candy Shop","50 Cent Featuring Olivia",7
2005-03-12,1,"Candy Shop","50 Cent Featuring Olivia",6
2005-03-05,1,"Candy Shop","50 Cent Featuring Olivia",5
2005-02-26,1,"Let Me Love You","Mario",19
2005-02-19,1,"Let Me Love You","Mario",18
2005-02-12,1,"Let Me Love You","Mario",17
2005-02-05,1,"Let Me Love You","Mario",16
2005-01-29,1,"Let Me Love You","Mario",15
2005-01-22,1,"Let Me Love You","Mario",14
2005-01-15,1,"Let Me Love You","Mario",13
2005-01-08,1,"Let Me Love You","Mario",12
2005-01-01,1,"Let Me Love You","Mario",11
2004-12-25,1,"Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",13
2004-12-18,1,"Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",12
2004-12-11,1,"Drop It Like It's Hot","Snoop Dogg Featuring Pharrell",11
2004-12-04,1,"My Boo","Usher And Alicia Keys",13
2004-11-27,1,"My Boo","Usher And Alicia Keys",12
2004-11-20,1,"My Boo","Usher And Alicia Keys",11
2004-11-13,1,"My Boo","Usher And Alicia Keys",10
2004-11-06,1,"My Boo","Usher And Alicia Keys",9
2004-10-30,1,"My Boo","Usher And Alicia Keys",8
2004-10-23,1,"Goodies","Ciara Featuring Petey Pablo",18
2004-10-16,1,"Goodies","Ciara Featuring Petey Pablo",17
2004-10-09,1,"Goodies","Ciara Featuring Petey Pablo",16
2004-10-02,1,"Goodies","Ciara Featuring Petey Pablo",15
2004-09-25,1,"Goodies","Ciara Featuring Petey Pablo",14
2004-09-18,1,"Goodies","Ciara Featuring Petey Pablo",13
2004-09-11,1,"Goodies","Ciara Featuring Petey Pablo",12
2004-09-04,1,"Lean Back","Terror Squad",11
2004-08-28,1,"Lean Back","Terror Squad",10
2004-08-21,1,"Lean Back","Terror Squad",9
2004-08-14,1,"Slow Motion","Juvenile Featuring Soulja Slim",16
